year_month,source_medium,sessions,engaged_sessions,purchases,revenue,users
202509,pinterest.com / referral,24,12,0,0.0,23
202512,OrderlyEmails / email,24,14,1,39.39,17
202601,admin.shopify.com / referral,24,16,0,0.0,3
202604,Facebook / Paid Social,24,12,0,0.0,7
202506,(data not available),23,21,0,0.0,23
202506,IGShopping / Social,23,14,0,0.0,22
202506,judgeme / email,23,11,0,0.0,16
202506,l.facebook.com / referral,23,20,0,0.0,22
202601,l.instagram.com / referral,23,9,0,0.0,19
202601,poulpeo.com / referral,23,19,1,388.0,5
202507,l.instagram.com / Infl uenceur,22,18,1,46.64,22
202509,admin.shopify.com / referral,22,17,0,0.0,3
202509,search.brave.com / referral,22,15,0,0.0,15
202512,savoo.fr / referral,22,6,0,0.0,3
202601,IGShopping / Social,22,11,0,0.0,19
202508,savoo.fr / referral,21,12,1,208.0,12
202508,search.brave.com / referral,21,14,1,53.99,16
202511,app.zipchat.ai / referral,21,17,0,0.0,1
202511,mesenvies.fr / referral,21,17,1,74.25,15
202511,redirect.ppro.com / referral,21,14,1,40.74,4
202604,back-in-stock / email,21,14,0,0.0,3
202606,qwant.com / organic,21,18,0,0.0,17
202509,facebook / paid,20,16,0,0.0,12
202511,brevo / email,20,13,0,0.0,15
202605,(data not available),20,17,3,172.99,20
202506,fr.igraal.com / referral,19,14,4,262.19,11
202509,redirect.ppro.com / referral,19,14,0,0.0,7
202511,google / product_sync,19,19,0,0.0,19
202604,redirect-euw1.ppro.com / referral,19,5,0,0.0,11
202509,fr.pinterest.com / referral,18,11,0,0.0,12
202509,youtube.com / referral,18,10,1,48.09,13
202511,adsmanager.facebook.com / referral,18,12,0,0.0,1
202602,ma-reduc.com / referral,18,15,0,0.0,1
202602,psbe-le-petit-lunetier.odoo.com / referral,18,11,0,0.0,1
202603,IGShopping / Social,18,6,0,0.0,9
202604,shop.app / referral,18,4,0,0.0,11
202510,Instagram_stories / Influenceur,17,4,0,0.0,14
202511,klaviyo.com / referral,17,12,0,0.0,1
202511,lepetitlunetier.aftership.com / referral,17,9,1,55.99,10
202511,listy.fr / referral,17,14,0,0.0,12
202511,youtube.com / referral,17,14,0,0.0,14
202512,ma-reduc.com / referral,17,10,0,0.0,8
202506,instagram.com / referral,16,8,0,0.0,15
202510,google / product_sync,16,12,0,0.0,14
202511,fr.igraal.com / referral,16,8,2,104.04,14
202511,fr.pinterest.com / referral,16,13,0,0.0,14
